review,label
"Item as described, happy with the watch.",real
"This is a scam, waste of money.",fake
"Received the product on time, works well.",real
Great customer service and support.,real
Scam! Paid for nothing.,fake
Excellent packaging and quick shipping.,real
"Fraudulent seller, item never arrived.",fake
"Terrible product, completely fake.",fake
"Received a fake product, warning!",fake
"Received the product on time, works well.",real
"This is a fake tablet, do not buy.",fake
"This is a fake microwave, do not buy.",fake
"This is a scam, waste of money.",fake
"Terrible product, completely fake.",fake
"Product is fake, not as described.",fake
Excellent packaging and quick shipping.,real
"Product is fake, not as described.",fake
"Fake item, very disappointed.",fake
"Item as described, happy with the phone.",real
Scam! Paid for nothing.,fake
"Item as described, happy with the watch.",real
"Very satisfied, will buy again.",real
"Fake review, they gave me free speaker.",fake
"Five stars, highly recommend!",real
"Received a fake product, warning!",fake
"Fake item, very disappointed.",fake
"Terrible product, completely fake.",fake
"This is a scam, waste of money.",fake
"Fake review, they gave me free microwave.",fake
"Received the product on time, works well.",real
"Item as described, happy with the camera.",real
"Very satisfied, will buy again.",real
Fast delivery and excellent sound quality.,real
"Item as described, happy with the phone.",real
"Received the product on time, works well.",real
"Awful experience, do not trust.",fake
"Awful experience, do not trust.",fake
Product exceeded my expectations.,real
Great customer service and support.,real
Great customer service and support.,real
Excellent packaging and quick shipping.,real
I absolutely love this camera! Works perfectly.,real
"Terrible product, completely fake.",fake
"High quality, exactly what I needed.",real
"Fraudulent seller, item never arrived.",fake
"Fake item, very disappointed.",fake
"Five stars, highly recommend!",real
"Fake review, they gave me free laptop.",fake
Fast delivery and excellent display.,real
"High quality, exactly what I needed.",real
"This is a scam, waste of money.",fake
"Very satisfied, will buy again.",real
Excellent packaging and quick shipping.,real
Great customer service and support.,real
"Fraudulent seller, item never arrived.",fake
"Very satisfied, will buy again.",real
"Very satisfied, will buy again.",real
"Five stars, highly recommend!",real
"Awful experience, do not trust.",fake
"High quality, exactly what I needed.",real
I absolutely love this watch! Works perfectly.,real
Scam! Paid for nothing.,fake
"Product is fake, not as described.",fake
I absolutely love this laptop! Works perfectly.,real
Fast delivery and excellent speed.,real
"Awful experience, do not trust.",fake
"Terrible product, completely fake.",fake
Product exceeded my expectations.,real
"Fake review, they gave me free laptop.",fake
"Fake review, they gave me free watch.",fake
"Fake item, very disappointed.",fake
Great customer service and support.,real
"High quality, exactly what I needed.",real
"Awful experience, do not trust.",fake
"Item as described, happy with the speaker.",real
Fast delivery and excellent comfort.,real
"Received the product on time, works well.",real
"High quality, exactly what I needed.",real
"Received the product on time, works well.",real
"Fake review, they gave me free microwave.",fake
Product exceeded my expectations.,real
Great customer service and support.,real
"Received the product on time, works well.",real
"Received the product on time, works well.",real
"Item as described, happy with the microwave.",real
Fast delivery and excellent design.,real
"This is a scam, waste of money.",fake
Product exceeded my expectations.,real
"Fake item, very disappointed.",fake
"Received the product on time, works well.",real
"Terrible product, completely fake.",fake
"Received the product on time, works well.",real
"This is a scam, waste of money.",fake
"This is a fake printer, do not buy.",fake
"Product is fake, not as described.",fake
"Fake item, very disappointed.",fake
"High quality, exactly what I needed.",real
"Received a fake product, warning!",fake
"Fake review, they gave me free printer.",fake
"Fake review, they gave me free watch.",fake
"Fraudulent seller, item never arrived.",fake
"Awful experience, do not trust.",fake
Fast delivery and excellent speed.,real
"Received the product on time, works well.",real
"This is a scam, waste of money.",fake
Scam! Paid for nothing.,fake
Product exceeded my expectations.,real
"This is a fake tablet, do not buy.",fake
Product exceeded my expectations.,real
"This is a scam, waste of money.",fake
"Product is fake, not as described.",fake
"Received a fake product, warning!",fake
I absolutely love this charger! Works perfectly.,real
"Terrible product, completely fake.",fake
"This is a scam, waste of money.",fake
"Received the product on time, works well.",real
I absolutely love this microwave! Works perfectly.,real
"Fake item, very disappointed.",fake
"Terrible product, completely fake.",fake
"Item as described, happy with the charger.",real
"Item as described, happy with the laptop.",real
"Received the product on time, works well.",real
"This is a fake watch, do not buy.",fake
"Received a fake product, warning!",fake
"Received the product on time, works well.",real
Product exceeded my expectations.,real
"Awful experience, do not trust.",fake
Product exceeded my expectations.,real
Fast delivery and excellent battery life.,real
"This is a scam, waste of money.",fake
"Received a fake product, warning!",fake
"Very satisfied, will buy again.",real
"Fake item, very disappointed.",fake
"Five stars, highly recommend!",real
I absolutely love this printer! Works perfectly.,real
"Awful experience, do not trust.",fake
Product exceeded my expectations.,real
Scam! Paid for nothing.,fake
Scam! Paid for nothing.,fake
"This is a fake printer, do not buy.",fake
"Fraudulent seller, item never arrived.",fake
"High quality, exactly what I needed.",real
"Received the product on time, works well.",real
"Item as described, happy with the phone.",real
"This is a scam, waste of money.",fake
"High quality, exactly what I needed.",real
"Received the product on time, works well.",real
"Product is fake, not as described.",fake
"Terrible product, completely fake.",fake
"Received the product on time, works well.",real
"This is a scam, waste of money.",fake
"Fake item, very disappointed.",fake
"Terrible product, completely fake.",fake
"Received the product on time, works well.",real
"This is a scam, waste of money.",fake
Excellent packaging and quick shipping.,real
"Received a fake product, warning!",fake
"Fake review, they gave me free speaker.",fake
"Fake review, they gave me free camera.",fake
"Item as described, happy with the camera.",real
Product exceeded my expectations.,real
Fast delivery and excellent performance.,real
"Awful experience, do not trust.",fake
Excellent packaging and quick shipping.,real
"Item as described, happy with the printer.",real
Scam! Paid for nothing.,fake
Excellent packaging and quick shipping.,real
"Terrible product, completely fake.",fake
"Fake review, they gave me free headphone.",fake
"Received a fake product, warning!",fake
"Terrible product, completely fake.",fake
Product exceeded my expectations.,real
"Received a fake product, warning!",fake
"Received the product on time, works well.",real
"Product is fake, not as described.",fake
