username,date,rating,review,label
josephcollins,2025-02-17,5,I absolutely love this product! Works perfectly.,real
jenna39,2024-06-05,4,Fast delivery and excellent quality.,fake
xbaker,2024-06-14,5,"Very satisfied, will buy again.",real
dean21,2024-07-10,5,"Item as described, happy with purchase.",fake
theresagreene,2024-04-11,4,"Great customer service, very helpful.",fake
penny80,2025-01-01,5,"High quality, exactly what I needed.",real
obryant,2024-05-09,4,"Received the product on time, works well.",real
deanna49,2024-04-29,4,"Five stars, highly recommend!",real
gwest,2024-05-14,5,Product exceeded my expectations.,real
ellisonelizabeth,2025-03-16,4,Excellent packaging and quick shipping.,real
brownphyllis,2024-03-15,4,"Top-notch quality, very happy.",real
reneeparker,2024-06-18,4,Item works exactly as advertised.,real
buckjesus,2025-09-05,4,"Impressed with the product, will order more.",real
mackenzieblackwell,2025-05-06,4,"Fast shipping, item as described.",real
robin72,2025-08-16,5,"Very reliable product, works great.",real
lauraklein,2023-12-29,4,"Pleasant experience, product is good.",real
chambersdonna,2024-05-01,4,Good quality and affordable price.,real
tanner38,2024-03-13,5,Product matches description perfectly.,real
scarter,2025-04-04,4,Item arrived quickly and works fine.,real
travis29,2025-03-31,4,"Fantastic product, worth the money.",real
mcdonaldteresa,2025-03-26,5,Really happy with the purchase.,real
howardtammy,2025-02-10,4,"Quality is excellent, highly recommend.",real
pmiller,2024-08-03,4,Great value for the price.,real
omoore,2024-02-06,4,"Item functions well, happy with it.",real
ashleyjulia,2023-12-12,4,Easy to use and very reliable.,real
steven95,2025-07-27,5,"Excellent product, very satisfied.",real
laurayu,2025-08-12,5,Good packaging and fast delivery.,real
amanda25,2025-03-14,5,Product arrived in perfect condition.,real
jennifernelson,2024-04-20,4,"Met my expectations, good quality.",real
melanie03,2024-04-25,4,Will definitely buy again.,real
kmoore,2024-07-10,4,"Product performs well, very happy.",real
matthewharper,2025-08-25,4,"Happy with the purchase, highly recommend.",real
acook,2024-01-05,4,"Excellent value, works perfectly.",real
nancy14,2024-05-04,4,"Very good experience, product is reliable.",real
wtran,2024-04-14,4,"Fast delivery, product works fine.",real
ethan89,2024-06-15,5,Item is exactly as described.,real
sandraabbott,2025-08-09,5,"Top quality, very satisfied.",real
maureenphillips,2024-07-07,4,Product is reliable and easy to use.,real
angie81,2024-12-03,5,"Exceeded expectations, excellent product.",real
bgreene,2024-11-29,5,"Product works well, happy with it.",real
sarahjohnson,2024-09-17,5,"Good product, fast delivery.",real
smithcatherine,2023-11-10,5,Highly recommend this product.,real
bturner,2025-09-10,5,Item is high quality and works perfectly.,real
wrightdebra,2024-09-27,5,"Excellent service, product arrived fast.",real
travis83,2025-01-19,4,Very happy with product performance.,real
michelle92,2025-04-05,5,"Good quality, matches description.",real
perezdonald,2025-08-30,5,Product is durable and reliable.,real
cindy86,2024-04-01,4,"Fast shipping, product as expected.",real
zalvarez,2025-09-10,4,"Happy with the purchase, very good.",real
brian95,2025-06-22,5,"Excellent product, very useful.",real
laurenjordan,2025-07-14,1,"This is a fake product, do not buy.",fake
gloversusan,2025-03-11,2,Scam! Paid for nothing.,fake
danielsjeremy,2025-09-17,1,"Fake review, they gave me free product.",fake
melissa88,2024-03-28,1,"Terrible product, completely fake.",fake
moorecourtney,2024-09-29,1,"Awful experience, do not trust.",fake
matthew02,2024-06-19,2,"Fraudulent seller, item never arrived.",fake
nicolejennings,2025-04-02,2,"Fake item, very disappointed.",fake
mmiller,2025-02-16,2,"Product is fake, not as described.",fake
christopher43,2025-01-13,2,"Received a fake product, warning!",fake
kerry09,2025-03-26,1,"This is a scam, waste of money.",fake
courtney29,2024-12-04,1,"Fake review, they paid me to write this.",fake
davidday,2024-03-02,2,"Do not buy, product is counterfeit.",fake
jonesjean,2025-02-28,1,"Fake product, arrived broken.",fake
jordanryan,2025-04-16,1,"Scam seller, do not order.",fake
haley27,2024-01-25,2,"Fake, completely misleading description.",fake
nathaniel03,2025-07-18,2,"Product is not real, very unhappy.",fake
johnmartin,2024-09-27,1,"Awful, product is fake and poor quality.",fake
sheltoncasey,2024-05-05,2,"Fake item, they tricked me.",fake
greenjacob,2023-12-10,1,"Scam product, beware!",fake
kaitlynpalmer,2024-04-08,2,"Received fake product, total fraud.",fake
vedwards,2025-05-16,1,"Fake review, they tricked customers.",fake
pattontracie,2025-06-17,2,"Do not trust, product is fake.",fake
matthew30,2024-01-21,2,"Fake product, terrible experience.",fake
sydneywalker,2023-11-21,1,"Counterfeit item, very disappointed.",fake
martha55,2025-06-12,2,"Fake, not worth the money.",fake
kimberlypowell,2023-11-21,1,"Fraudulent product, do not buy.",fake
joemiller,2025-02-21,1,"Scam, completely fake item.",fake
kathywilson,2025-06-25,2,"Fake review, false claims.",fake
charles78,2025-06-29,1,"Product is fake, avoid purchasing.",fake
benjamin53,2024-06-30,2,"Do not order, fake seller.",fake
robertmiles,2024-12-30,2,"Fake product, totally misleading.",fake
contreraskaren,2024-02-16,2,"Terrible fake item, very disappointed.",fake
steven17,2025-07-21,2,"Fake review, do not trust this.",fake
qtucker,2023-12-16,2,"Completely fake, total scam.",fake
carrollthomas,2024-01-27,1,"Awful, product is counterfeit.",fake
thomas54,2024-01-13,5,Absolutely loved the quality and packaging.,real
anna56,2024-02-07,4,Product came early and was well packed.,real
brownjacob,2025-10-13,4,"Very easy to use, totally satisfied.",real
kevinwillis,2025-05-04,5,Helpful customer service and fast delivery.,real
christopher08,2024-12-03,4,The material feels premium and strong.,real
sharirobinson,2024-01-22,5,Item matched the pictures perfectly.,real
crystalmartin,2024-02-23,5,"Good experience, would recommend to friends.",real
williamsrobert,2025-08-17,5,"Works great, no issues so far.",real
brian56,2024-05-27,4,Excellent battery life and smooth performance.,real
webersamuel,2025-05-17,4,Received genuine product with warranty card.,real
lisa36,2024-06-18,5,Product was brand new and sealed.,real
kathleen35,2025-09-29,5,Quick response from the support team.,real
garciadavid,2025-09-04,4,"Great deal for the price, works fine.",real
garciachristine,2025-02-24,5,Perfect condition and well protected during shipping.,real
gary56,2024-01-26,5,Very convenient and affordable.,real
williamsjennifer,2025-03-16,5,Item is sturdy and durable.,real
kevin05,2025-02-15,5,Super happy with my purchase!,real
hscott,2025-01-20,5,Meets all my expectations.,real
brandonthomas,2024-04-27,4,Exactly what I was looking for.,real
